table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 140,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,2107,1075,1032,272,241,366,329,356,313,471,582,631,352,542,184,89,205,178,201,148,101,206,293,278,153,71,1751,48,907,741
Table 140,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,2107,1030,1077,291,252,352,327,362,303,472,573,594,428,512,176,84*,233,172,184,151,100*,198,278,288,180,63*,1768,55*,906,757
Table 140,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 4th to 6th December 2020,NET: Closely,2008,977,1031,278,239,323,307,347,292,462,542,574,410,482,170,81,223,163,171,148,92,189,261,276,172,62,1684,53,868,720
Table 140,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 4th to 6th December 2020,Very closely        (+2),1766,818,948,220,185,262,268,306,270,441,473,515,361,417,153,73,208,146,144,127,81,166,210,251,149,58,1474,43,762,644
Table 140,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 4th to 6th December 2020,Fairly closely      (+1),242,158,83,58,53,60,39,41,22,21,69,59,49,65,18,8,16,17,26,21,10,22,51,25,23,4,210,10,106,76
Table 140,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 4th to 6th December 2020,Not very closely    (-1),41,19,22,12,12,12,6,4,2,5,12,12,7,9,3,1,4,5,4,1,2,2,12,5,4,1,36,1,19,15
Table 140,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 4th to 6th December 2020,Not at all closely  (-2),58,35,23,1,1,17,14,12,9,5,19,8,10,20,2,2,6,4,9,2,7,8,5,8,4,1,48,1,19,22
Table 140,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 4th to 6th December 2020,NET: Not closely,99,54,45,13,13,29,20,15,12,10,31,20,18,30,5,3,10,9,13,3,8,9,17,13,8,1,84,2,38,37
Table 140,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 4th to 6th December 2020,Mean,1.72,1.66,1.77,1.66,1.63,1.53,1.66,1.73,1.78,1.88,1.68,1.79,1.74,1.66,1.8,1.78,1.78,1.73,1.59,1.78,1.58,1.71,1.62,1.76,1.72,1.86,1.71,1.71,1.74,1.73
Table 140,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 4th to 6th December 2020,Standard deviation Standard error,0.81,0.86,0.75,0.72,0.76,1.02,0.91,0.8,0.77,0.55,0.87,0.67,0.77,0.9,0.65,0.73,0.75,0.8,0.99,0.64,1.08,0.86,0.85,0.78,0.76,0.56,0.81,0.71,0.75,0.81
Table 144,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 15th to 17th January 2021,Unweighted base,2115,1003,1112,261,228,325,342,367,332,488,584,640,359,532,186,88,220,166,174,162,105,182,296,296,177,63,1761,,,
Table 144,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 15th to 17th January 2021,Weighted base,2115,1034,1081,292,250,353,328,364,305,473,575,597,429,514,176,84*,234,172,185,152,100*,199,279,289,181,63*,1775,,,
Table 144,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 15th to 17th January 2021,NET: Closely,2051,993,1057,277,236,345,311,352,302,464,554,579,419,499,170,82,225,167,183,146,98,193,264,284,178,60,1722,,,
Table 144,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 15th to 17th January 2021,Very closely        (+2),1864,875,989,240,201,288,275,322,288,450,505,537,375,447,151,75,205,152,165,131,92,186,224,265,164,55,1566,,,
Table 144,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 15th to 17th January 2021,Fairly closely      (+1),186,118,68,37,35,56,36,30,14,14,49,41,44,51,19,7,21,15,18,15,6,6,40,19,14,5,156,,,
Table 144,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 15th to 17th January 2021,Not very closely    (-1),37,27,10,11,11,4,14,3,-,5,12,9,9,7,6,1,4,4,1,3,1,3,9,2,1,3,27,,,
Table 144,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 15th to 17th January 2021,Not at all closely  (-2),28,14,13,4,4,5,3,9,2,5,9,9,1,9,*,1,4,2,1,2,1,3,6,3,2,1,26,,,
