start_date,end_date,question,response,total,male,female,16-24,18-24,25-34,35-44,45-54,55-64,65+,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,NET: Closed groups,8,7,1,0,0,2,2,1,1,3,3,3,2,0
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,NET: Other online news sources,14,7,8,3,3,5,0,1,5,1,5,2,5,1
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Weighted base,155,84,71,23,21,38,29,25,21,18,44,43,32,36
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,NET: Family/friends/ local ppl,26,9,17,6,6,10,2,3,1,5,7,6,7,6
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,NET: Traditional media,32,15,17,4,4,12,4,2,4,5,9,5,13,6
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,I don't know where the source is from,1,0,1,0,0,1,0,0,0,0,1,0,0,0
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,NET: Non-BBC broadcasters,13,8,6,1,1,7,1,1,1,3,7,1,1,3
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,NET: Broadcasters,20,8,12,1,1,12,1,2,1,3,7,4,5,4
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Facebook messenger,4,3,1,0,0,1,0,0,0,3,1,2,1,0
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Weighted base,155,84,71,23,21,38,29,25,21,18,44,43,32,36
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Weighted base,155,84,71,23,21,38,29,25,21,18,44,43,32,36
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Facebook,84,40,44,15,14,22,14,15,10,9,23,26,15,20
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Twitter,24,19,5,7,7,6,7,3,1,0,4,8,8,4
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Family and friends directly,20,7,14,4,4,10,2,3,0,2,7,4,5,5
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Search engine (e.g. Google),18,9,9,4,3,8,3,1,0,2,3,8,5,2
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,YouTube,17,8,10,2,2,3,3,4,0,5,2,8,2,6
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,WhatsApp,11,7,4,1,0,3,2,3,0,2,1,7,3,0
2020-06-12,2020-06-15,source_of_theory_linking_coronavirus_to_5g_technology_reported_as_true,Websites or apps that bring together news from different news providers,10,5,4,1,1,5,0,0,4,0,3,2,4,0
