start_date,end_date,question,response,total,male,female,16-24,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade,scotland,north_east,north_west,yorkshire_&_humberside,west_midlands,east_midlands,wales,eastern,london,south_east,south_west,northern_ireland,net:_england
2020-05-07,2020-05-10,device_usage_to_connect_to_internet,Laptop,1479,746,733,244,442,421,300,317,,,,,,,,,,,,,
2020-05-07,2020-05-10,device_usage_to_connect_to_internet,Tablet computer (e.g. iPad),1131,567,564,138,347,302,243,238,,,,,,,,,,,,,
2020-05-07,2020-05-10,device_usage_to_connect_to_internet,TV set,1014,515,500,149,297,274,217,226,,,,,,,,,,,,,
2020-05-07,2020-05-10,device_usage_to_connect_to_internet,Desktop PC,737,464,272,65,240,195,133,168,,,,,,,,,,,,,
2020-05-07,2020-05-10,device_usage_to_connect_to_internet,"Smart speaker (e.g. Amazon Echo, Google Home)",481,273,208,61,153,129,117,82,,,,,,,,,,,,,
2020-05-07,2020-05-10,device_usage_to_connect_to_internet,Games console,463,267,196,108,128,116,118,100,,,,,,,,,,,,,
2020-05-07,2020-05-10,device_usage_to_connect_to_internet,E-reader (e.g. Kindle),236,88,149,19,74,71,46,46,,,,,,,,,,,,,
2020-05-07,2020-05-10,device_usage_to_connect_to_internet,"Smart watch (e.g. Apple Watch, Pebble, Samsung, Sony)",177,103,73,27,75,51,25,25,,,,,,,,,,,,,
2020-05-07,2020-05-10,device_usage_to_connect_to_internet,Weighted base,2127,1040,1087,293,579,600,432,517,,,,,,,,,,,,,
2020-05-07,2020-05-10,device_usage_to_connect_to_internet,Other portable/ handheld device (e.g. portable games console/ iPod Touch),100,55,44,23,30,31,19,20,,,,,,,,,,,,,
2020-05-07,2020-05-10,device_usage_to_connect_to_internet,Netbook,33,16,18,2,8,9,7,9,,,,,,,,,,,,,
2020-05-07,2020-05-10,device_usage_to_connect_to_internet,Other device,30,20,11,1,10,8,1,11,,,,,,,,,,,,,
2020-05-07,2020-05-10,device_usage_to_connect_to_internet,"Not applicable, I do not have access to the internet",-,-,-,-,-,-,-,-,,,,,,,,,,,,,
2020-05-07,2020-05-10,device_usage_to_connect_to_internet,Don't know,2,-,2,1,1,1,-,-,,,,,,,,,,,,,
2020-04-24,2020-04-26,device_usage_to_connect_to_internet,Unweighted base,2106,1041,1065,269,544,621,393,548,,,,,,,,,,,,,
2020-04-24,2020-04-26,device_usage_to_connect_to_internet,Weighted base,2106,1030,1076,291,573,594,427,512,,,,,,,,,,,,,
2020-04-24,2020-04-26,device_usage_to_connect_to_internet,NET: Used device to connect to internet,2099,1025,1073,288,570,593,426,509,,,,,,,,,,,,,
