table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 93,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 4th to 6th December 2020,Standard deviation Standard error,1.04,1.05,1.03,1.04,1.04,1.1,1.02,0.93,0.97,0.95,1.09,0.98,1.02,1.08,1.01,1.06,1.06,1,1.14,0.99,1.07,0.89,1.19,1,0.99,0.94,1.05,1.25,1.01,1.06
Table 94,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 15th to 17th January 2021,Unweighted base,2071,981,1090,257,225,314,329,363,328,480,578,630,348,515,182,88,216,161,170,158,105,175,292,291,170,63,1721,,,
Table 94,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 15th to 17th January 2021,Weighted base,2073,1014,1059,288,247,343,315,360,301,466,569,585,419,499,171,84*,230,168,181,148,100*,192,276,285,173,63*,1738,,,
Table 94,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 15th to 17th January 2021,NET: Top 2 box,246,141,105,43,38,62,56,33,24,27,65,64,57,59,21,10,30,18,23,19,7,17,54,27,12,9,210,,,
Table 94,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 15th to 17th January 2021,5 - Relying completely on people I know/people in my local area/people on social media,64,45,20,12,9,24,14,3,5,7,19,18,14,14,2,3,8,3,7,7,1,3,20,6,1,4,57,,,
Table 94,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 15th to 17th January 2021,4,181,96,85,31,29,38,42,30,19,20,46,47,43,45,18,6,23,15,16,12,6,14,34,21,11,4,153,,,
Table 94,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 15th to 17th January 2021,3,618,287,330,101,84,133,119,99,72,94,163,159,127,169,49,35,62,53,52,41,32,58,89,84,45,19,518,,,
Table 94,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 15th to 17th January 2021,2,597,276,321,83,73,93,73,110,98,140,159,184,134,120,48,22,65,53,64,43,27,55,61,75,64,21,501,,,
Table 94,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 15th to 17th January 2021,1 - Relying completely on media/official sources,612,309,303,60,52,54,67,118,108,205,182,178,101,151,53,18,72,44,41,45,35,62,73,100,52,16,509,,,
Table 94,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 15th to 17th January 2021,NET: Bottom 2 box,1209,585,624,143,126,148,140,228,206,345,341,362,235,271,101,40,137,97,105,88,62,118,133,175,117,36,1010,,,
Table 94,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 15th to 17th January 2021,Mean,2.27,2.3,2.24,2.49,2.47,2.66,2.56,2.14,2.06,1.89,2.23,2.22,2.37,2.3,2.23,2.47,2.25,2.28,2.35,2.28,2.12,2.16,2.52,2.15,2.1,2.38,2.28,,,
Table 94,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 15th to 17th January 2021,Standard deviation Standard error,1.07,1.13,1.01,1.07,1.07,1.09,1.1,0.99,1,0.97,1.09,1.06,1.06,1.08,1.05,1.04,1.11,1,1.05,1.13,1,1.01,1.21,1.05,0.93,1.13,1.08,,,
Table 95,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 12th to 14th February 2021,Unweighted base,2056,995,1061,258,227,282,312,376,335,493,608,624,307,517,170,81,200,156,177,161,112,192,302,299,143,63,1711,,,
Table 95,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 12th to 14th February 2021,Weighted base,2056,1009,1047,280,238,337,317,354,302,467,566,584,413,493,167,78*,229,168,178,147,99*,197,272,284,176,61*,1729,,,
Table 95,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 12th to 14th February 2021,NET: Top 2 box,238,122,117,46,35,72,46,34,18,23,78,60,45,56,7,10,38,18,22,14,12,22,46,29,17,4,216,,,
Table 95,Q6a. Please think about the Coronavirus situation and the information and news you need to manage your daily life. To what extent are you relying on people that you know/people in your local,ONLINE Fieldwork: 12th to 14th February 2021,5 - Relying completely on people I know/people in my local area/people on social media,61,34,27,8,3,24,7,14,4,4,15,13,17,17,2,3,4,7,9,5,4,3,7,9,6,1,53,,,
